"t","TP_conc","TP_conc_ug_L","mass_settled_kg"
3075,5.61626568299335e-06,5.61626568299335,8460.40417297826
3076,5.6162573502333e-06,5.6162573502333,8460.3916204172
3077,5.61624902869326e-06,5.61624902869326,8460.37908475809
3078,5.61624071835812e-06,5.61624071835812,8460.36656597817
3079,5.6162324192128e-06,5.6162324192128,8460.3540640547
3080,5.61622413124222e-06,5.61622413124222,8460.34157896499
3081,5.61621585443134e-06,5.61621585443134,8460.32911068638
3082,5.61620758876513e-06,5.61620758876513,8460.31665919622
3083,5.61619933422859e-06,5.61619933422859,8460.30422447192
3084,5.61619109080674e-06,5.61619109080674,8460.29180649089
3085,5.61618285848459e-06,5.61618285848459,8460.2794052306
3086,5.61617463724722e-06,5.61617463724722,8460.26702066852
3087,5.61616642707969e-06,5.61616642707969,8460.25465278218
3088,5.61615822796709e-06,5.61615822796709,8460.24230154911
3089,5.61615003989455e-06,5.61615003989455,8460.22996694691
3090,5.6161418628472e-06,5.6161418628472,8460.21764895316
3091,5.61613369681019e-06,5.61613369681019,8460.20534754552
3092,5.6161255417687e-06,5.6161255417687,8460.19306270164
3093,5.61611739770791e-06,5.61611739770791,8460.18079439923
3094,5.61610926461306e-06,5.61610926461306,8460.16854261601
3095,5.61610114246936e-06,5.61610114246936,8460.15630732974
3096,5.61609303126208e-06,5.61609303126208,8460.1440885182
3097,5.61608493097649e-06,5.61608493097649,8460.13188615921
3098,5.61607684159788e-06,5.61607684159788,8460.11970023062
3099,5.61606876311156e-06,5.61606876311156,8460.10753071031
3100,5.61606069550288e-06,5.61606069550288,8460.09537757617
3101,5.61605263875718e-06,5.61605263875718,8460.08324080616
3102,5.61604459285984e-06,5.61604459285984,8460.07112037823
3103,5.61603655779624e-06,5.61603655779624,8460.05901627038
3104,5.61602853355181e-06,5.61602853355181,8460.04692846063
3105,5.61602052011198e-06,5.61602052011198,8460.03485692704
3106,5.61601251746218e-06,5.61601251746218,8460.02280164769
3107,5.61600452558791e-06,5.61600452558791,8460.0107626007
3108,5.61599654447464e-06,5.61599654447464,8459.99873976421
3109,5.61598857410789e-06,5.61598857410789,8459.98673311639
3110,5.61598061447319e-06,5.61598061447319,8459.97474263545
3111,5.61597266555609e-06,5.61597266555609,8459.96276829961
3112,5.61596472734215e-06,5.61596472734215,8459.95081008714
3113,5.61595679981697e-06,5.61595679981697,8459.93886797633
3114,5.61594888296614e-06,5.61594888296614,8459.92694194549
3115,5.61594097677531e-06,5.61594097677531,8459.91503197298
3116,5.61593308123012e-06,5.61593308123012,8459.90313803717
3117,5.61592519631622e-06,5.61592519631622,8459.89126011647
3118,5.61591732201931e-06,5.61591732201931,8459.87939818931
3119,5.61590945832509e-06,5.61590945832509,8459.86755223416
3120,5.61590160521929e-06,5.61590160521929,8459.85572222951
3121,5.61589376268764e-06,5.61589376268764,8459.8439081539
3122,5.61588593071591e-06,5.61588593071591,8459.83210998585
3123,5.61587810928988e-06,5.61587810928988,8459.82032770397
3124,5.61587029839535e-06,5.61587029839535,8459.80856128685
3125,5.61586249801814e-06,5.61586249801814,8459.79681071314
3126,5.61585470814409e-06,5.61585470814409,8459.7850759615
3127,5.61584692875906e-06,5.61584692875906,8459.77335701063
3128,5.61583915984891e-06,5.61583915984891,8459.76165383925
3129,5.61583140139956e-06,5.61583140139956,8459.74996642612
3130,5.61582365339691e-06,5.61582365339691,8459.73829475002
3131,5.61581591582689e-06,5.61581591582689,8459.72663878975
3132,5.61580818867546e-06,5.61580818867546,8459.71499852416
3133,5.6158004719286e-06,5.6158004719286,8459.70337393211
3134,5.61579276557228e-06,5.61579276557228,8459.6917649925
3135,5.61578506959252e-06,5.61578506959252,8459.68017168425
3136,5.61577738397535e-06,5.61577738397535,8459.66859398632
3137,5.61576970870682e-06,5.61576970870682,8459.65703187769
3138,5.61576204377298e-06,5.61576204377298,8459.64548533736
3139,5.61575438915993e-06,5.61575438915993,8459.63395434437
3140,5.61574674485377e-06,5.61574674485377,8459.62243887779
3141,5.61573911084061e-06,5.61573911084061,8459.61093891672
3142,5.61573148710661e-06,5.61573148710661,8459.59945444027
3143,5.61572387363791e-06,5.61572387363791,8459.58798542759
3144,5.61571627042071e-06,5.61571627042071,8459.57653185787
3145,5.61570867744118e-06,5.61570867744118,8459.5650937103
3146,5.61570109468556e-06,5.61570109468556,8459.55367096413
3147,5.61569352214006e-06,5.61569352214006,8459.54226359861
3148,5.61568595979095e-06,5.61568595979095,8459.53087159304
3149,5.6156784076245e-06,5.6156784076245,8459.51949492672
3150,5.61567086562699e-06,5.61567086562699,8459.50813357902
3151,5.61566333378473e-06,5.61566333378473,8459.4967875293
3152,5.61565581208405e-06,5.61565581208405,8459.48545675697
3153,5.61564830051129e-06,5.61564830051129,8459.47414124144
3154,5.61564079905281e-06,5.61564079905281,8459.46284096219
3155,5.615633307695e-06,5.615633307695,8459.45155589869
3156,5.61562582642426e-06,5.61562582642426,8459.44028603045
3157,5.615618355227e-06,5.615618355227,8459.42903133703
3158,5.61561089408966e-06,5.61561089408966,8459.41779179797
3159,5.61560344299869e-06,5.61560344299869,8459.40656739288
3160,5.61559600194057e-06,5.61559600194057,8459.39535810138
3161,5.61558857090179e-06,5.61558857090179,8459.38416390312
3162,5.61558114986885e-06,5.61558114986885,8459.37298477778
3163,5.61557373882829e-06,5.61557373882829,8459.36182070506
3164,5.61556633776664e-06,5.61556633776664,8459.35067166469
3165,5.61555894667048e-06,5.61555894667048,8459.33953763643
3166,5.61555156552638e-06,5.61555156552638,8459.32841860007
3167,5.61554419432095e-06,5.61554419432095,8459.31731453543
3168,5.6155368330408e-06,5.6155368330408,8459.30622542233
3169,5.61552948167256e-06,5.61552948167256,8459.29515124066
3170,5.61552214020289e-06,5.61552214020289,8459.2840919703
3171,5.61551480861847e-06,5.61551480861847,8459.27304759117
3172,5.61550748690597e-06,5.61550748690597,8459.26201808323
3173,5.61550017505212e-06,5.61550017505212,8459.25100342646
3174,5.61549287304363e-06,5.61549287304363,8459.24000360085
3175,5.61548558086725e-06,5.61548558086725,8459.22901858643
3176,5.61547829850974e-06,5.61547829850974,8459.21804836327
3177,5.61547102595787e-06,5.61547102595787,8459.20709291144
3178,5.61546376319845e-06,5.61546376319845,8459.19615221106
3179,5.61545651021829e-06,5.61545651021829,8459.18522624226
3180,5.61544926700422e-06,5.61544926700422,8459.17431498521
3181,5.61544203354309e-06,5.61544203354309,8459.1634184201
3182,5.61543480982178e-06,5.61543480982178,8459.15253652714
3183,5.61542759582715e-06,5.61542759582715,8459.14166928658
3184,5.61542039154613e-06,5.61542039154613,8459.13081667869
3185,5.61541319696562e-06,5.61541319696562,8459.11997868377
3186,5.61540601207257e-06,5.61540601207257,8459.10915528214
3187,5.61539883685393e-06,5.61539883685393,8459.09834645415
3188,5.61539167129668e-06,5.61539167129668,8459.08755218018
3189,5.6153845153878e-06,5.6153845153878,8459.07677244063
3190,5.61537736911431e-06,5.61537736911431,8459.06600721593
3191,5.61537023246324e-06,5.61537023246324,8459.05525648654
3192,5.61536310542161e-06,5.61536310542161,8459.04452023293
3193,5.61535598797651e-06,5.61535598797651,8459.03379843562
3194,5.61534888011499e-06,5.61534888011499,8459.02309107515
3195,5.61534178182417e-06,5.61534178182417,8459.01239813206
3196,5.61533469309115e-06,5.61533469309115,8459.00171958696
3197,5.61532761390307e-06,5.61532761390307,8458.99105542045
3198,5.61532054424706e-06,5.61532054424706,8458.98040561317
3199,5.61531348411031e-06,5.61531348411031,8458.96977014579
3200,5.61530643347998e-06,5.61530643347998,8458.95914899899
3201,5.61529939234328e-06,5.61529939234328,8458.94854215351
3202,5.61529236068743e-06,5.61529236068743,8458.93794959007
3203,5.61528533849966e-06,5.61528533849966,8458.92737128946
3204,5.61527832576721e-06,5.61527832576721,8458.91680723245
3205,5.61527132247737e-06,5.61527132247737,8458.90625739989
3206,5.61526432861741e-06,5.61526432861741,8458.8957217726
3207,5.61525734417464e-06,5.61525734417464,8458.88520033147
3208,5.61525036913638e-06,5.61525036913638,8458.87469305739
3209,5.61524340348996e-06,5.61524340348996,8458.86419993129
3210,5.61523644722274e-06,5.61523644722274,8458.85372093412
3211,5.61522950032209e-06,5.61522950032209,8458.84325604685
3212,5.6152225627754e-06,5.6152225627754,8458.83280525048
3213,5.61521563457007e-06,5.61521563457007,8458.82236852605
3214,5.61520871569352e-06,5.61520871569352,8458.8119458546
3215,5.6152018061332e-06,5.6152018061332,8458.8015372172
3216,5.61519490587656e-06,5.61519490587656,8458.79114259498
3217,5.61518801491107e-06,5.61518801491107,8458.78076196904
3218,5.61518113322421e-06,5.61518113322421,8458.77039532055
3219,5.61517426080351e-06,5.61517426080351,8458.76004263069
3220,5.61516739763648e-06,5.61516739763648,8458.74970388066
3221,5.61516054371065e-06,5.61516054371065,8458.73937905169
3222,5.6151536990136e-06,5.6151536990136,8458.72906812503
3223,5.61514686353288e-06,5.61514686353288,8458.71877108198
3224,5.6151400372561e-06,5.6151400372561,8458.70848790382
3225,5.61513322017086e-06,5.61513322017086,8458.6982185719
3226,5.61512641226477e-06,5.61512641226477,8458.68796306757
3227,5.61511961352549e-06,5.61511961352549,8458.67772137221
3228,5.61511282394067e-06,5.61511282394067,8458.66749346723
3229,5.61510604349798e-06,5.61510604349798,8458.65727933405
3230,5.61509927218511e-06,5.61509927218511,8458.64707895414
3231,5.61509250998978e-06,5.61509250998978,8458.63689230898
3232,5.61508575689969e-06,5.61508575689969,8458.62671938007
3233,5.6150790129026e-06,5.6150790129026,8458.61656014895
3234,5.61507227798626e-06,5.61507227798626,8458.60641459716
3235,5.61506555213844e-06,5.61506555213844,8458.5962827063
3236,5.61505883534693e-06,5.61505883534693,8458.58616445796
3237,5.61505212759953e-06,5.61505212759953,8458.57605983378
3238,5.61504542888408e-06,5.61504542888408,8458.5659688154
3239,5.6150387391884e-06,5.6150387391884,8458.55589138453
3240,5.61503205850036e-06,5.61503205850036,8458.54582752285
3241,5.61502538680782e-06,5.61502538680782,8458.53577721209
3242,5.61501872409867e-06,5.61501872409867,8458.52574043401
3243,5.61501207036082e-06,5.61501207036082,8458.5157171704
3244,5.61500542558218e-06,5.61500542558218,8458.50570740304
3245,5.6149987897507e-06,5.6149987897507,8458.49571111376
3246,5.61499216285432e-06,5.61499216285432,8458.48572828444
3247,5.61498554488101e-06,5.61498554488101,8458.47575889692
3248,5.61497893581876e-06,5.61497893581876,8458.46580293312
3249,5.61497233565558e-06,5.61497233565558,8458.45586037496
3250,5.61496574437947e-06,5.61496574437947,8458.4459312044
3251,5.61495916197847e-06,5.61495916197847,8458.4360154034
3252,5.61495258844063e-06,5.61495258844063,8458.42611295396
3253,5.61494602375402e-06,5.61494602375402,8458.41622383811
3254,5.61493946790671e-06,5.61493946790671,8458.40634803788
3255,5.61493292088682e-06,5.61493292088682,8458.39648553537
3256,5.61492638268244e-06,5.61492638268244,8458.38663631264
3257,5.61491985328172e-06,5.61491985328172,8458.37680035184
3258,5.61491333267279e-06,5.61491333267279,8458.36697763509
3259,5.61490682084382e-06,5.61490682084382,8458.35716814456
3260,5.61490031778298e-06,5.61490031778299,8458.34737186246
3261,5.61489382347848e-06,5.61489382347848,8458.33758877098
3262,5.61488733791852e-06,5.61488733791851,8458.32781885237
3263,5.61488086109132e-06,5.61488086109132,8458.3180620889
3264,5.61487439298512e-06,5.61487439298512,8458.30831846285
3265,5.61486793358819e-06,5.61486793358819,8458.29858795653
3266,5.6148614828888e-06,5.6148614828888,8458.28887055227
3267,5.61485504087523e-06,5.61485504087523,8458.27916623243
3268,5.6148486075358e-06,5.6148486075358,8458.26947497941
3269,5.61484218285881e-06,5.61484218285881,8458.25979677558
3270,5.61483576683261e-06,5.61483576683261,8458.2501316034
3271,5.61482935944555e-06,5.61482935944555,8458.24047944532
3272,5.61482296068599e-06,5.61482296068599,8458.2308402838
3273,5.61481657054233e-06,5.61481657054233,8458.22121410135
3274,5.61481018900295e-06,5.61481018900295,8458.2116008805
3275,5.61480381605627e-06,5.61480381605627,8458.20200060378
3276,5.61479745169073e-06,5.61479745169073,8458.19241325378
3277,5.61479109589476e-06,5.61479109589476,8458.18283881308
3278,5.61478474865683e-06,5.61478474865683,8458.1732772643
3279,5.61477840996542e-06,5.61477840996541,8458.16372859009
