OBJECTID,I_Value,J_Value,RASTERVALU
1103,54,86,6.42463
1104,54,87,6.31771
1105,54,88,6.27038
1106,54,89,6.2946
1107,54,90,6.44057
1108,54,91,6.71658
1109,54,92,7.02167
1110,54,93,7.42338
1111,54,94,7.80535
1112,54,95,7.95993
1113,54,96,8.10666
1114,54,97,8.26278
1115,54,98,8.42103
1116,54,99,8.62022
1117,54,100,8.73324
1118,54,101,8.79337
1119,54,102,8.7874
1120,54,103,8.70636
1121,54,104,8.57161
1122,54,105,8.47268
1123,55,56,9.1768
1124,55,57,9.16275
1125,55,58,9.14687
1126,55,59,9.16
1127,55,60,9.14068
1128,55,61,9.11943
1129,55,62,9.12808
1130,55,63,9.10294
1131,55,64,9.10789
1132,55,65,9.07844
1133,55,66,9.04695
1134,55,67,9.02063
1135,55,68,8.93693
1136,55,69,8.84254
1137,55,70,8.74536
1138,55,71,8.54767
1139,55,72,8.23932
1140,55,73,7.84005
1141,55,74,7.66677
1142,55,75,7.27189
1143,55,76,6.206
1144,55,77,5.83003
1145,55,78,6.17284
1146,55,79,6.44619
1147,55,80,6.56132
1148,55,81,6.58165
1149,55,82,6.57617
1150,55,83,6.54961
1151,55,84,6.53417
1152,55,85,6.51513
1153,55,86,6.49623
1154,55,87,6.43587
1155,55,88,6.44566
1156,55,89,6.51974
1157,55,90,6.69245
1158,55,91,6.95392
1159,55,92,7.24782
1160,55,93,7.60877
1161,55,94,7.91227
1162,55,95,8.02903
1163,55,96,8.16056
1164,55,97,8.31653
1165,55,98,8.49947
1166,55,99,8.67261
1167,55,100,8.80693
1168,55,101,8.87233
1169,55,102,8.84034
1170,55,103,8.70011
1171,55,104,8.48925
1172,55,105,8.33942
1173,56,57,10.2329
1174,56,58,10.2656
1175,56,59,10.2991
1176,56,60,10.3033
1177,56,61,10.3271
1178,56,62,10.3214
1179,56,63,10.3321
1180,56,64,10.342
1181,56,65,10.3163
1182,56,66,10.3028
1183,56,67,10.2618
1184,56,68,10.1329
1185,56,69,9.95945
1186,56,70,9.72371
1187,56,71,9.32147
1188,56,72,8.74132
1189,56,73,8.01201
1190,56,74,7.69397
1191,56,75,7.35972
1192,56,76,6.44796
1193,56,77,6.06738
1194,56,78,6.29708
1195,56,79,6.52446
1196,56,80,6.6148
1197,56,81,6.60874
1198,56,82,6.55957
1199,56,83,6.51758
1200,56,84,6.51336
1201,56,85,6.52489
1202,56,86,6.56458
1203,56,87,6.52633
1204,56,88,6.58936
1205,56,89,6.69969
1206,56,90,6.90597
1207,56,91,7.17328
1208,56,92,7.47609
1209,56,93,7.83304
1210,56,94,7.94348
1211,56,95,8.06697
1212,56,96,8.179
1213,56,97,8.36593
1214,56,98,8.5824
1215,56,99,8.78724
1216,56,100,8.95064
1217,56,101,9.02645
1218,56,102,8.97549
1219,56,103,8.75879
1220,56,104,8.43842
1221,56,105,8.24781
1222,56,106,8.26912
1223,57,49,10.6631
1224,57,50,10.761
1225,57,51,10.8356
1226,57,52,10.9388
1227,57,53,11.0446
1228,57,54,11.1222
1229,57,55,11.2301
1230,57,56,11.3061
1231,57,57,11.4124
1232,57,58,11.4931
1233,57,59,11.5611
1234,57,60,11.6235
1235,57,61,11.6948
1236,57,62,11.7776
1237,57,63,11.817
1238,57,64,11.8686
1239,57,65,11.8869
